salario_hora,no_ambos_padres_bio,educacion,edad,afqt_score,mujer,hispano,negro
17.34,0,16,50,83,0,0,0
61.530000000000001,0,18,52,65,1,0,0
38.460000000000001,0,12,49,64,0,0,0
17.52,0,16,52,42,1,0,0
57.689999999999998,0,12,51,54,0,0,0
36.539999999999999,0,9,47,9,0,0,0
,1,12,46,27,0,1,0
37.170000000000002,1,12,52,54,1,0,1
11.65,0,15,52,52,1,0,1
1.53,1,12,47,19,0,0,1
10,0,12,52,1,0,0,1
,1,12,50,14,1,0,1
13,1,11,49,8,1,0,1
,1,12,46,18,1,0,1
48.07,0,18,47,91,0,0,0
11,1,13,51,1,1,0,1
19.5,0,16,50,89,1,0,0
57.689999999999998,0,16,48,49,0,0,0
41.619999999999997,0,12,53,55,0,0,0
6.0499999999999998,0,17,47,38,0,0,0
20.899999999999999,0,12,50,26,0,0,0
,0,12,48,60,1,0,0
7.6900000000000004,0,12,52,78,1,0,0
65.379999999999995,1,13,45,41,0,0,0
26,0,11,47,52,0,0,0
38.060000000000002,0,16,51,66,0,0,0
67.780000000000001,0,16,48,34,0,0,0
19.23,0,19,48,80,1,0,0
13.18,0,12,52,16,0,0,0
1.28,0,12,48,32,1,0,0
32.049999999999997,0,16,51,87,0,0,0
9.3399999999999999,0,14,48,59,1,0,0
29.800000000000001,0,16,50,81,1,0,0
28.649999999999999,0,17,51,79,1,0,1
23.07,0,16,51,95,1,0,0
15.380000000000001,0,16,50,89,1,0,0
,0,18,48,77,0,0,0
11.369999999999999,0,12,51,17,1,0,0
11,0,12,49,11,0,0,0
33.649999999999999,0,20,49,89,0,0,0
,1,12,51,32,0,0,1
14.529999999999999,1,10,49,30,0,0,1
,1,8,46,1,1,0,1
12,0,11,52,8,0,0,1
56.079999999999998,0,12,52,68,0,0,1
,1,13,51,5,1,0,1
21.760000000000002,0,12,49,28,1,0,1
30.710000000000001,0,12,48,55,1,0,1
,0,12,46,1,0,0,1
31,0,15,47,73,1,0,1
18.98,1,12,46,16,1,0,1
21.5,0,12,50,88,0,0,0
26.920000000000002,0,13,47,67,0,0,0
,1,11,49,5,0,0,1
10.25,1,14,47,26,1,0,1
,1,12,46,17,0,0,1
,1,9,50,4,1,0,1
,1,10,52,34,0,0,1
29.050000000000001,0,18,52,78,1,0,0
30,0,16,48,99,1,0,0
